City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,Champerico
1,Silvania,BR,76.23,few clouds,-16.6589,-48.6081,Silvânia
4,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Ribeira Brava
14,Dingle,PH,78.53,broken clouds,10.9995,122.6711,Pototan
19,Beloha,MG,76.35,clear sky,-25.1667,45.05,Beloha
20,Lorengau,PG,81.97,broken clouds,-2.0226,147.2712,Lorengau
25,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Kamisu
27,Jamestown,US,82.94,clear sky,42.097,-79.2353,Jamestown
29,Sikeston,US,85.24,clear sky,36.8767,-89.5879,Sikeston
31,Hithadhoo,MV,81.1,moderate rain,-0.6,73.0833,Addu City
32,Bereda,ES,77.92,clear sky,43.2686,-7.5406,A Feira do Monte
33,Tonantins,BR,75.24,overcast clouds,-2.8731,-67.8022,Tonantins
35,Radom,PL,88.12,clear sky,51.4025,21.1471,Radom
36,Ostersund,SE,75.65,few clouds,63.1792,14.6357,Östersund
38,Tateyama,JP,77.09,overcast clouds,34.9833,139.8667,Tateyama
41,Senador Jose Porfirio,BR,83.95,few clouds,-2.5908,-51.9542,Senador José Porfírio
43,Makakilo City,US,75.52,few clouds,21.3469,-158.0858,Kapolei
48,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Namatanai
50,Katsuura,JP,78.1,overcast clouds,35.1333,140.3,Katsuura
53,Shingu,JP,75.24,overcast clouds,33.7333,135.9833,Shingu
54,Kalabo,ZM,83.88,clear sky,-14.97,22.6814,Kalabo
55,Fuyu,CN,75.58,overcast clouds,45.1833,124.8167,Songyuan
57,Albany,US,85.17,clear sky,42.6001,-73.9662,Voorheesville
69,Albion,US,80.78,overcast clouds,42.2431,-84.753,Albion
73,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Grussaí
74,Tezu,IN,76.8,overcast clouds,27.9167,96.1667,Tezu
75,Morant Bay,JM,86.7,clear sky,17.8815,-76.4093,Morant Bay
77,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Kapaʻa
81,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,Puerto Vallarta
82,Oriximina,BR,87.28,scattered clouds,-1.7656,-55.8661,Oriximiná
84,Sao Filipe,CV,77.83,overcast clouds,14.8961,-24.4956,Sao Filipe
90,Saint-Francois,FR,80.04,broken clouds,46.4154,3.9054,Molinet
93,Asau,RO,87.28,overcast clouds,46.4333,26.4,Comănești
95,Maunabo,PR,88.47,broken clouds,18.0072,-65.8993,Yabucoa
96,Savannah Bight,HN,82.27,broken clouds,16.45,-85.85,Guanaja
98,Atuona,PF,76.64,scattered clouds,-9.8,-139.0333,Atuona
99,Sibolga,ID,77.38,scattered clouds,1.7427,98.7792,Sibolga
100,Kisaran,ID,75.92,overcast clouds,2.9845,99.6158,East Kisaran
102,Faanui,PF,77.29,clear sky,-16.4833,-151.75,Vaitape
103,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Horta
107,Bengkulu,ID,78.48,overcast clouds,-3.8004,102.2655,Bengkulu
109,Gamba,GA,75.67,broken clouds,-2.65,10.0,Foundou
111,Butaritari,KI,80.92,moderate rain,3.0707,172.7902,Ukiangang
121,Chinna Salem,IN,89.44,overcast clouds,11.65,78.9,Chinnasalem
122,Mana,GF,83.55,few clouds,5.6592,-53.7767,Mana
123,Guia De Isora,ES,81.1,clear sky,28.2115,-16.7795,Guía de Isora
126,Lata,PT,85.08,clear sky,40.1629,-8.3327,Coimbra
127,Shubarshi,KZ,82.53,overcast clouds,48.5872,57.1869,Shubarshi
128,Muros,ES,87.15,clear sky,42.7762,-9.0603,Muros
136,San Policarpo,PH,82.8,overcast clouds,12.1791,125.5072,Oras
138,Patiya,BD,84.15,broken clouds,22.2931,91.9762,Patiya
143,Jamiltepec,MX,75.27,scattered clouds,16.2833,-97.8167,Santiago Jamiltepec
145,Balabac,PH,81.99,few clouds,7.9868,117.0645,Balabac
147,Erenhot,CN,84.11,overcast clouds,43.6475,111.9767,Xilingol League
151,Great Yarmouth,GB,86.95,overcast clouds,52.6083,1.7305,Great Yarmouth
