City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Champerico,GT,2022-07-20 14:11:24,14.3,-91.9167,82.94,79,100,3.98,overcast clouds
1,Silvania,BR,2022-07-20 14:11:24,-16.6589,-48.6081,76.23,37,11,11.65,few clouds
2,Chuy,UY,2022-07-20 14:11:25,-33.6971,-53.4616,56.08,80,0,10.13,clear sky
3,Tasiilaq,GL,2022-07-20 14:11:25,65.6145,-37.6368,41.16,82,92,4.32,overcast clouds
4,Ponta Do Sol,PT,2022-07-20 14:11:25,32.6667,-17.1,83.71,65,0,2.98,clear sky
5,Saskylakh,RU,2022-07-20 14:11:26,71.9167,114.0833,46.29,64,99,15.05,overcast clouds
6,Vaini,TO,2022-07-20 14:11:26,-21.2,-175.2,74.25,78,16,19.93,few clouds
7,Luderitz,NA,2022-07-20 14:11:27,-26.6481,15.1594,65.12,51,0,22.55,clear sky
8,Aswan,EG,2022-07-20 14:07:18,24.0934,32.907,107.91,9,2,14.0,clear sky
9,Rikitea,PF,2022-07-20 14:09:11,-23.1203,-134.9692,72.91,76,6,2.21,clear sky
10,Carnarvon,AU,2022-07-20 14:05:59,-24.8667,113.6333,71.13,71,0,15.12,clear sky
11,Saldanha,ZA,2022-07-20 14:07:26,-33.0117,17.9442,56.84,61,0,14.67,clear sky
12,Kununurra,AU,2022-07-20 14:11:29,-15.7667,128.7333,64.38,68,17,0.0,few clouds
13,Ushuaia,AR,2022-07-20 14:03:18,-54.8,-68.3,35.26,93,100,31.07,drizzle
14,Dingle,PH,2022-07-20 14:11:29,10.9995,122.6711,78.53,87,83,3.22,broken clouds
15,Arman,RU,2022-07-20 14:11:30,59.7,150.1667,53.55,94,5,5.95,clear sky
16,Lebu,CL,2022-07-20 14:03:04,-37.6167,-73.65,51.58,97,100,10.78,overcast clouds
17,Vostok,RU,2022-07-20 14:11:30,46.4856,135.8833,61.43,96,90,3.18,overcast clouds
18,Bredasdorp,ZA,2022-07-20 14:07:20,-34.5322,20.0403,58.21,56,44,4.43,scattered clouds
19,Beloha,MG,2022-07-20 14:08:04,-25.1667,45.05,76.35,28,0,7.05,clear sky
20,Lorengau,PG,2022-07-20 14:11:31,-2.0226,147.2712,81.97,77,71,7.31,broken clouds
21,Yellowknife,CA,2022-07-20 14:06:25,62.456,-114.3525,59.56,82,100,17.0,overcast clouds
22,Ust-Kuyga,RU,2022-07-20 14:11:32,70.0167,135.6,43.14,75,19,6.98,few clouds
23,Avarua,CK,2022-07-20 14:00:10,-21.2078,-159.775,73.45,73,75,12.66,broken clouds
24,Hobart,AU,2022-07-20 14:07:13,-42.8794,147.3294,38.05,90,20,5.75,few clouds
25,Hasaki,JP,2022-07-20 14:06:50,35.7333,140.8333,77.4,80,100,6.06,overcast clouds
26,Mataura,NZ,2022-07-20 14:04:39,-46.1927,168.8643,41.49,98,14,0.92,few clouds
27,Jamestown,US,2022-07-20 14:05:53,42.097,-79.2353,82.94,73,0,11.5,clear sky
28,Jalu,LY,2022-07-20 14:11:34,29.0331,21.5482,95.05,13,0,14.65,clear sky
